Tsn;Num;Language code;Language;Name;Preferred;Description;Deprecated;Valid from;Valid to;New code
11289;1;1;Scientific;Alaria;true;;false;;;
204087;1;1;Scientific;Thenea muricata;true;;false;;;
11300;1;3;English;dabberlocks;true;;false;;;
11300;2;1;Scientific;Alaria esculenta;true;;false;;;
11300;3;2;Norwegian;butare;true;;false;;;
176970;1;1;Scientific;Alca;true;;false;;;
155474;1;1;Scientific;Alcyonidiidae;true;;false;;;
162590;1;1;Scientific;Diaphus bertelseni;true;;false;;;
162605;1;1;Scientific;Diaphus holti;true;;false;;;
162625;1;1;Scientific;Diaphus subtilis;true;;false;;;
162641;1;1;Scientific;Lampanyctus lineatus;true;;false;;;
162643;1;1;Scientific;Lampanyctus nobilis;true;;false;;;
162644;1;1;Scientific;Lampanyctus photonotus;true;;false;;;
623740;1;1;Scientific;Lampanyctus vadulus;true;;false;;;
162717;1;1;Scientific;Loweina rara;true;;false;;;
162656;1;1;Scientific;Notoscopelus bolini;true;;false;;;
162744;1;1;Scientific;Taaningichthys paurolychnus;true;;false;;;
622403;1;1;Scientific;Aristostomias xenostoma;true;;false;;;
162790;1;1;Scientific;Cetostoma regani;true;;false;;;
622535;1;1;Scientific;Chauliodus schmidti;true;;false;;;
644712;1;1;Scientific;Gigantura chuni;true;;false;;;
162479;1;1;Scientific;Lestidiops affinis;true;;false;;;
166099;1;1;Scientific;Melamphaes longivelis;true;;false;;;
162777;1;1;Scientific;Scopelengys tristis;true;;false;;;
622774;1;1;Scientific;Lasiognathus;true;;false;;;
622464;1;1;Scientific;Ichthyococcus polli;true;;false;;;
623314;1;1;Scientific;Mentodus;true;;false;;;
162362;1;1;Scientific;Einara;true;;false;;;
166113;1;1;Scientific;Scopeloberyx opisthopterus;true;;false;;;
622679;1;1;Scientific;Stomias lampropeltis;true;;false;;;
622989;1;1;Scientific;Lyconodes argenteus;true;;false;;;
556079;1;1;Scientific;Mastigoteuthis glaukopis;true;;false;;;
999092;1;1;Scientific;Dolichopteryx rostrata;true;;false;;;
641931;1;1;Scientific;Howella atlantica;true;;false;;;
623356;1;1;Scientific;Bathylychnops brachyrhynchus;true;;false;;;
999093;1;1;Scientific;Pseudoscopelus cordilluminatus;true;;false;;;
162346;1;1;Scientific;Asquamiceps;true;;false;;;
162167;1;1;Scientific;Cyclothone pallida;true;;false;;;
29909;1;1;Scientific;Asteridae;true;;false;;;
52628;1;1;Scientific;Actinostolidae;true;;false;;;
709253;1;1;Scientific;Aculeata;true;;false;;;
92485;1;1;Scientific;Aega;true;;false;;;
201334;1;3;English;sechervil;true;;false;;;
201334;2;1;Scientific;Alcyonidium diaphanum;true;;false;;;
92484;1;1;Scientific;Aegidae;true;;false;;;
95431;1;1;Scientific;Aeginina;true;;false;;;
78727;1;1;Scientific;Aeolidia;true;;false;;;
78737;1;1;Scientific;Aeolidiella;true;;false;;;
78726;1;1;Scientific;Aeolidiidae;true;;false;;;
85414;1;1;Scientific;Aetideopsis;true;;false;;;
85419;1;1;Scientific;Aetideus;true;;false;;;
53049;1;1;Scientific;Agaricia;true;;false;;;
53055;1;1;Scientific;Agaricia fragilis;true;;false;;;
53033;1;1;Scientific;Agariciidae;true;;false;;;
719178;1;3;English;pink helmet;true;;false;;;
719178;2;1;Scientific;Aglantha digitale;true;;false;;;
719178;3;1;Scientific;Aglantha digitalis;false;;false;;;
50333;1;1;Scientific;Aglaophenia;true;;false;;;
159693;1;3;English;jawless fishes;true;;false;;;
159693;2;1;Scientific;Agnatha;true;;false;;;
159693;3;2;Norwegian;kjeveløse fisker;true;;false;;;
660103;1;1;Scientific;Agononida;true;;false;;;
167453;1;1;Scientific;Agonus;true;;false;;;
644676;1;1;Scientific;Ahliesaurus;true;;false;;;
52768;1;1;Scientific;Aiptasiidae;true;;false;;;
11288;1;1;Scientific;Alariaceae;true;;false;;;
553134;1;1;Scientific;Albuliformes;true;;false;;;
176971;1;3;English;razorbill;true;;false;;;
176971;2;1;Scientific;Alca torda;true;;false;;;
176971;3;2;Norwegian;alke;true;;false;;;
176971;4;4;Russian;гагарка;true;;false;;;
176967;1;3;English;auks;true;;false;;;
176967;2;1;Scientific;Alcidae;true;;false;;;
52016;1;3;English;soft corals;true;;false;;;
52016;2;1;Scientific;Alcyonacea;true;;false;;;
52016;3;2;Norwegian;lærkoraller;true;;false;;;
155481;1;1;Scientific;Alcyonidium disciforme;true;;false;;;
155487;1;3;English;jelly bryozoan;true;;false;;;
155487;2;1;Scientific;Alcyonidium gelatinosum;true;;false;;;
155483;1;1;Scientific;Alcyonidium parasiticum;true;;false;;;
52019;1;3;English;true soft corals;true;;false;;;
52019;2;1;Scientific;Alcyoniidae;true;;false;;;
52019;3;2;Norwegian;dødningehender;true;;false;;;
718937;1;1;Scientific;Alcyoniina;true;;false;;;
622363;1;1;Scientific;Astronesthes gemmifer;true;;false;;;
52021;1;3;English;dead man's fingers;true;;false;;;
52021;2;1;Scientific;Alcyonium digitatum;true;;false;;;
52021;3;2;Norwegian;dødmannshånd;true;;false;;;
162523;1;3;English;lancetfishes;true;;false;;;
162523;2;1;Scientific;Alepisauridae;true;;false;;;
553150;1;1;Scientific;Alepisauroidei;true;;false;;;
162524;1;1;Scientific;Alepisaurus;true;;false;;;
162528;1;3;English;shortnose lancetfish;true;;false;;;
162528;2;1;Scientific;Alepisaurus brevirostris;true;;false;;;
162303;1;3;English;slickheads;true;;false;;;
162303;2;1;Scientific;Alepocephalidae;true;;false;;;
162303;3;2;Norwegian;glatthodefisk;true;;false;;;
623274;1;1;Scientific;Alepocephaloidea;true;;false;;;
162308;1;1;Scientific;Alepocephalus;true;;false;;;
623687;1;3;English;Agassiz’ smoothhead;true;;false;;;
623687;2;1;Scientific;Alepocephalus agassizii;true;;false;;;
162312;1;1;Scientific;Alepocephalus australis;true;;false;;;
162315;1;3;English;baird's smoothhead;true;;false;;;
162315;2;1;Scientific;Alepocephalus bairdii;true;;false;;;
162310;1;3;English;Risso’s smooth-head;true;;false;;;
162310;2;1;Scientific;Alepocephalus rostratus;true;;false;;;
38883;1;1;Scientific;Alismatales;true;;false;;;
38882;1;1;Scientific;Alismatidae;true;;false;;;
159915;1;1;Scientific;Alopias;true;;false;;;
159916;1;3;English;thresher shark;true;;false;;;
159916;2;1;Scientific;Alopias vulpinus;true;;false;;;
159916;3;2;Norwegian;revehai;true;;false;;;
159916;4;4;Russian;lisitska morskayia;true;;false;;;
159928;1;3;English;fox sharks;true;;false;;;
159928;2;3;English;thrashers;false;;false;;;
159928;3;3;English;threshers;false;;false;;;
159928;4;3;English;thresher sharks;false;;false;;;
159928;5;1;Scientific;Alopiidae;true;;false;;;
159928;6;4;Russian;dlinnokhvostye akuly;true;;false;;;
161701;1;3;English;shads;true;;false;;;
161701;2;1;Scientific;Alosa;true;;false;;;
161701;3;4;Russian;сельдь;true;;false;;;
155475;1;1;Scientific;Alcyonidium;true;;false;;;
161708;1;3;English;allis shad;true;;false;;;
161708;2;1;Scientific;Alosa alosa;true;;false;;;
161708;3;2;Norwegian;maisild;true;;false;;;
161706;1;3;English;alewife;true;;false;;;
161706;2;1;Scientific;Alosa pseudoharengus;true;;false;;;
161702;1;3;English;american shad;true;;false;;;
161702;2;1;Scientific;Alosa sapidissima;true;;false;;;
551155;1;1;Scientific;Alosinae;true;;false;;;
96600;1;3;English;snapping shrimps;true;;false;;;
96600;2;1;Scientific;Alpheidae;true;;false;;;
206942;1;1;Scientific;Alpheoidea;true;;false;;;
70798;1;1;Scientific;Alvania;true;;false;;;
70863;1;1;Scientific;Alvania lactea;true;;false;;;
169306;1;3;English;Canary drum;true;;false;;;
169306;2;1;Scientific;Umbrina canariensis;true;;false;;;
57450;1;1;Scientific;Cerebratulus marginatus;true;;false;;;
999002;1;1;Scientific;Alveolophragnium orbiculata;true;;false;;;
621381;1;1;Scientific;Amathillopsidae;true;;false;;;
94587;1;1;Scientific;Amathillopsis spinigera;true;;false;;;
168096;1;3;English;rock basses;true;;false;;;
168096;2;1;Scientific;Ambloplites;true;;false;;;
96066;1;1;Scientific;Aristeus varidens;true;;false;;;
89907;1;1;Scientific;Amblyops abbreviata;true;;false;;;
564138;1;3;English;arctic skate;true;;false;;;
564138;2;1;Scientific;Amblyraja hyperborea;true;;false;;;
564138;3;2;Norwegian;isskate;true;;false;;;
169221;1;1;Scientific;Dentex macrophthalmus;true;;false;;;
51058;1;1;Scientific;Amphogona apicata;true;;false;;;
171676;1;3;English;lesser sand eel;true;;false;;;
171676;2;1;Scientific;Ammodytes tobianus;true;;false;;;
171676;3;2;Norwegian;småsil;true;;false;;;
171676;4;4;Russian;peschanka;true;;false;;;
71224;1;1;Scientific;Ammonicera;true;;false;;;
83572;1;1;Scientific;Ammotheidae;true;;false;;;
93321;1;1;Scientific;Ampelisca;true;;false;;;
67727;1;1;Scientific;Ampharete;true;;false;;;
67718;1;1;Scientific;Ampharetidae;true;;false;;;
67744;1;1;Scientific;Amphicteis;true;;false;;;
93382;1;1;Scientific;Amphilochidae;true;;false;;;
65164;1;1;Scientific;Amphinomidae;true;;false;;;
157673;1;1;Scientific;Amphipholis;true;;false;;;
157676;1;3;English;brooding snake star;true;;false;;;
157676;2;3;English;dwarf brittle star;false;;false;;;
157676;3;1;Scientific;Amphipholis squamata;true;;false;;;
93294;1;3;English;amphipods;true;;false;;;
93294;2;1;Scientific;Amphipoda;true;;false;;;
93294;3;2;Norwegian;tanglopper;true;;false;;;
57523;1;1;Scientific;Amphiporus;true;;false;;;
162628;1;1;Scientific;Diaphus termophilus;true;;false;;;
162630;1;1;Scientific;Diaphus vanhoeffeni;true;;false;;;
623710;1;1;Scientific;Gonichthys cocco;true;;false;;;
162696;1;1;Scientific;Hygophum benoiti;true;;false;;;
162710;1;1;Scientific;Lampadena chavesi;true;;false;;;
623855;1;1;Scientific;Nannobrachium isaacsi;true;;false;;;
556249;1;1;Scientific;Mastigoteuthis magna;true;;false;;;
556257;1;1;Scientific;Mastigoteuthis atlantica;true;;false;;;
205716;1;1;Scientific;Heteroteuthis dispar;true;;false;;;
556240;1;1;Scientific;Abraliopsis pfefferi;true;;false;;;
82653;1;1;Scientific;Bolitaenidae;true;;false;;;
82584;1;1;Scientific;Bathothauma lyromma;true;;false;;;
556253;1;1;Scientific;Taningia danae;true;;false;;;
82564;1;1;Scientific;Joubiniteuthis portieri;true;;false;;;
622364;1;1;Scientific;Astronesthes leucopogon;true;;false;;;
162106;1;1;Scientific;Opisthoproctus grimaldii;true;;false;;;
622376;1;1;Scientific;Bathophilus vaillanti;true;;false;;;
162174;1;1;Scientific;Cyclothone livida;true;;false;;;
