m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	c.catchsampleid	specimenid	individualproducttype	individualweight	individualvolume	lengthresolution	length	fat	fatpercent	sex	maturationstage	specialstage	eggstage	moultingstage	spawningfrequency	stomachfillfield	stomachfilllab	digestion	liver	liverparasite	gillworms	swollengills	fungusheart	fungusspores	fungusouter	blackspot	vertebraecount	agingstructureread	agingstructureweight	age	spawningage	spawningzones	readability	otolithtype	otolithedge	otolithcentre	calibration	growthzone1	growthzone2	growthzone3	growthzone4	growthzone5	growthzone6	growthzone7	growthzone8	growthzone9	growthzonestotal	coastalannuli	oceanicannuli	agereader	preferredagereading	tagid	tagtype	gonadweight	liverweight	stomachweight	diameter	mantlelength	carapacelength	headlength	snouttoendoftail	snouttoendsqueezed	snouttoanalfin	snouttodorsalfin	forklength	snouttoboneknob	lengthwithouthead	carapacewidth	rightclawwidth	rightclawlength	meroswidth	meroslength	japanesecut	abdomenwidth	tissuesamplenumber	individualcomment	cond
4	2019	LMEL	13	2569	16	24	1			2	0.155																																																																						
4	2019	LMEL	13	2569	16	25	1			2	0.185																																																																						
4	2019	LMEL	13	2569	16	26	1			2	0.155																																																																						
4	2019	LMEL	13	2569	16	27	1			2	0.14																																																																						
4	2019	LMEL	13	2569	16	28	1			2	0.165																																																																						
4	2019	LMEL	13	2569	16	29	1			2	0.275																																																																						
4	2019	LMEL	13	2569	16	30	1			2	0.265																																																																						
4	2019	LMEL	13	2569	16	31	1			2	0.135																																																																						
4	2019	LMEL	13	2569	16	32	1			2	0.17																																																																						
4	2019	LMEL	13	2569	16	33	1			2	0.135																																																																						
4	2019	LMEL	13	2569	16	34	1			2	0.35																																																																						
4	2019	LMEL	13	2569	16	35	1			2	0.155																																																																						
4	2019	LMEL	13	2569	16	36	1			2	0.165																																																																						
4	2019	LMEL	13	2569	16	37	1			2	0.185																																																																						
4	2019	LMEL	13	2569	16	38	1			2	0.15																																																																						
4	2019	LMEL	13	2569	16	39	1			2	0.115																																																																						
4	2019	LMEL	13	2569	16	40	1			2	0.12																																																																						
4	2019	LMEL	13	2569	16	41	1			2	0.125																																																																						
4	2019	LMEL	13	2569	16	42	1			2	0.115																																																																						
4	2019	LMEL	13	2569	16	43	1			2	0.18																																																																						
4	2019	LMEL	13	2569	16	44	1			2	0.13																																																																						
4	2019	LMEL	13	2569	16	45	1			2	0.215																																																																						
4	2019	LMEL	13	2569	16	46	1			2	0.115																																																																						
4	2019	LMEL	13	2569	16	47	1			2	0.26																																																																						
4	2019	LMEL	13	2569	16	48	1			2	0.23																																																																						
4	2019	LMEL	13	2569	16	49	1			2	0.275																																																																						
4	2019	LMEL	13	2569	16	50	1			2	0.28																																																																						
4	2019	LMEL	13	2569	16	51	1			2	0.23																																																																						
4	2019	LMEL	13	2569	16	52	1			2	0.175																																																																						
4	2019	LMEL	13	2569	16	53	1			2	0.155																																																																						
4	2019	LMEL	13	2569	16	54	1			2	0.17																																																																						
4	2019	LMEL	13	2569	16	55	1			2	0.245																																																																						
4	2019	LMEL	13	2569	16	56	1			2	0.165																																																																						
